,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
165,5.50,6.27,43.63,0.05,0.08,1.06
166,5.91,5.94,43.30,0.06,0.08,1.05
167,6.05,5.56,43.30,0.07,0.08,1.05
168,5.79,4.37,43.18,0.07,0.09,1.06
169,5.80,3.19,43.16,0.07,0.09,1.06
170,5.74,2.23,43.11,0.07,0.09,1.04
171,5.66,2.05,43.01,0.08,0.09,1.04
172,5.34,2.20,42.31,0.08,0.09,1.05
173,4.55,2.00,41.63,0.07,0.09,1.04
174,4.12,1.25,41.30,0.07,0.09,1.05
175,4.21,0.58,41.18,0.06,0.09,1.04
176,3.85,-1.05,41.79,0.05,0.09,1.05
177,2.93,-1.54,41.25,0.06,0.09,1.05
178,3.27,-2.24,41.50,0.05,0.07,1.05
179,3.30,-1.98,41.85,0.06,0.09,1.04
180,3.47,-0.90,42.12,0.06,0.09,1.05
181,4.17,-0.37,42.72,0.06,0.08,1.05
182,4.49,0.21,43.21,0.05,0.09,1.05
183,3.89,1.59,43.71,0.07,0.09,1.05
184,3.34,4.02,44.00,0.07,0.09,1.04
185,2.81,4.79,43.85,0.06,0.10,1.05
186,2.55,3.80,43.95,0.04,0.09,1.06
187,2.03,2.11,44.37,0.04,0.09,1.04
188,1.94,1.33,44.56,0.06,0.08,1.04
189,1.44,0.46,44.26,0.06,0.09,1.04
190,1.02,0.61,44.47,0.06,0.08,1.05
191,1.22,1.07,44.43,0.06,0.08,1.05
192,1.10,2.08,44.76,0.07,0.09,1.07
193,1.05,3.63,45.02,0.07,0.08,1.07
194,1.33,5.27,45.76,0.07,0.08,1.06
195,1.37,7.08,46.12,0.07,0.09,1.06
196,1.39,9.13,46.56,0.08,0.08,1.06
197,1.30,10.63,47.01,0.06,0.09,1.05
198,1.19,10.99,47.37,0.05,0.09,1.05
199,1.10,11.05,47.66,0.05,0.09,1.05
200,1.10,10.82,47.92,0.04,0.09,1.05
201,1.05,9.31,47.95,0.03,0.09,1.05
202,1.05,7.40,48.03,0.03,0.09,1.05
203,0.43,5.59,48.11,0.03,0.08,1.05
204,0.11,2.32,47.53,0.03,0.08,1.04
205,-0.23,-0.92,47.47,0.03,0.09,1.04
206,-0.09,-2.52,47.88,0.04,0.08,1.04
207,-0.11,-4.41,48.89,0.03,0.07,1.05
208,0.08,-3.60,49.66,0.05,0.08,1.06
209,1.68,-3.85,51.51,0.06,0.09,1.06
210,-0.72,-0.58,52.87,0.08,0.10,1.07
211,-0.37,1.59,48.09,0.08,0.08,1.05
212,-2.55,4.76,51.31,0.09,0.11,1.07
213,-1.59,3.54,48.29,0.07,0.09,1.04
214,-1.22,2.35,51.33,0.07,0.10,1.06
215,-1.63,0.55,50.06,0.07,0.09,1.06
216,-2.44,1.27,50.52,0.08,0.09,1.06
217,-3.18,2.55,50.53,0.09,0.09,1.05
218,-3.92,3.53,50.40,0.09,0.09,1.05
219,-4.34,3.51,50.52,0.09,0.08,1.05
220,-4.90,3.83,50.64,0.08,0.08,1.05
221,-6.18,4.34,51.25,0.07,0.08,1.04
222,-6.00,4.23,51.59,0.07,0.07,1.06
223,-6.21,4.64,51.48,0.08,0.07,1.04
224,-7.27,2.29,51.37,0.08,0.08,1.06
225,-7.13,1.68,50.93,0.08,0.07,1.05
226,-7.57,-0.79,51.08,0.07,0.08,1.06
227,-7.34,-1.97,50.64,0.08,0.06,1.05
228,-7.24,-3.50,50.70,0.08,0.07,1.06
229,-7.01,-3.68,50.81,0.08,0.06,1.07
230,-6.84,-3.36,50.40,0.08,0.06,1.08
231,-6.69,-2.27,50.63,0.09,0.06,1.07
232,-7.04,-1.05,50.61,0.09,0.06,1.08
233,-6.69,1.11,50.37,0.09,0.04,1.06
234,-6.34,1.57,52.03,0.08,0.04,1.07
235,-6.44,4.00,51.28,0.08,0.04,1.07
236,-7.33,5.11,53.33,0.07,0.03,1.08
237,-6.11,4.26,52.85,0.06,0.03,1.06
238,-6.44,3.51,53.65,0.06,0.05,1.08
239,-6.69,2.12,53.30,0.06,0.04,1.07
240,-6.26,1.34,53.37,0.06,0.03,1.08
241,-5.97,-1.04,53.27,0.05,0.03,1.09
242,-4.98,-1.79,53.71,0.05,0.03,1.08
243,-4.14,-3.40,53.91,0.05,0.03,1.10
244,-3.65,-3.97,53.54,0.06,0.03,1.08
245,-2.73,-3.44,54.11,0.06,0.03,1.08
246,-2.14,-1.98,54.92,0.07,0.03,1.08
247,-2.06,-1.24,55.66,0.07,0.03,1.08
248,-1.76,-0.08,56.08,0.08,0.04,1.08
249,-1.77,0.87,56.66,0.08,0.04,1.07
250,-2.14,1.33,56.67,0.08,0.04,1.07
251,-2.21,2.00,56.84,0.09,0.04,1.06
252,-2.44,1.05,57.13,0.07,0.04,1.08
253,-2.00,0.43,57.44,0.08,0.03,1.07
254,-1.66,0.29,57.18,0.08,0.03,1.07
255,-1.34,-0.52,56.72,0.08,0.03,1.07
256,-1.37,-0.64,56.64,0.09,0.03,1.07
257,-1.19,-0.50,56.78,0.09,0.03,1.06
258,-0.76,-0.38,56.70,0.08,0.03,1.07
259,-0.98,-1.57,56.99,0.08,0.03,1.07
260,-0.67,-2.03,56.64,0.10,0.03,1.08
261,-0.41,-2.38,57.37,0.10,0.04,1.08
262,-1.08,-1.68,56.89,0.10,0.03,1.07
263,-0.15,-2.47,56.66,0.10,0.03,1.07
264,-0.11,-0.85,57.39,0.12,0.04,1.08
265,0.60,-1.65,56.27,0.11,0.03,1.08
266,0.49,0.41,57.68,0.12,0.03,1.08
267,1.18,1.10,57.31,0.11,0.02,1.07
268,1.01,2.50,58.14,0.12,0.04,1.07
269,1.79,3.77,58.00,0.13,0.03,1.08
270,2.00,5.13,58.34,0.13,0.04,1.08
271,1.86,5.95,58.05,0.13,0.03,1.07
272,2.47,6.56,58.15,0.13,0.03,1.06
273,2.85,6.27,57.98,0.12,0.03,1.06
274,3.15,4.95,57.68,0.12,0.03,1.06
275,2.96,3.60,57.40,0.13,0.03,1.05
276,2.52,1.86,56.72,0.13,0.04,1.05
277,1.79,-0.44,56.21,0.12,0.04,1.06
278,2.12,-2.23,55.83,0.12,0.04,1.05
279,2.05,-4.93,55.34,0.13,0.03,1.06
280,2.78,-6.50,55.07,0.14,0.04,1.06
281,3.31,-6.64,54.50,0.15,0.03,1.05
282,3.76,-5.76,54.06,0.15,0.04,1.05
283,3.68,-4.60,53.37,0.16,0.03,1.04
284,3.18,-2.72,53.54,0.16,0.04,1.04
285,2.47,-0.79,53.80,0.17,0.04,1.03
286,1.18,1.04,54.11,0.17,0.05,1.04
287,0.15,2.53,54.12,0.18,0.04,1.04
288,-0.78,3.59,54.11,0.17,0.04,1.06
289,-1.25,4.98,54.27,0.17,0.04,1.05
290,-1.11,5.88,53.94,0.16,0.04,1.06
291,-0.64,6.14,53.19,0.16,0.03,1.06
292,-0.15,5.54,52.31,0.15,0.03,1.06
293,0.84,4.72,51.69,0.13,0.02,1.05
294,1.15,1.97,50.84,0.13,0.02,1.06
295,1.69,-0.73,50.18,0.13,0.02,1.05
296,1.71,-5.08,49.88,0.13,0.03,1.06
297,0.92,-9.01,48.81,0.14,0.03,1.07
298,0.73,-10.15,48.47,0.15,0.02,1.06
299,0.41,-10.70,48.43,0.15,0.03,1.06
300,0.37,-10.18,48.50,0.16,0.03,1.06
301,0.73,-7.30,48.66,0.18,0.04,1.05
302,0.87,-2.72,48.52,0.20,0.03,1.05
303,0.53,1.50,48.29,0.20,0.04,1.04
304,-0.38,5.22,48.21,0.19,0.05,1.03
305,-1.39,7.60,47.77,0.18,0.04,1.04
306,-2.93,8.44,48.18,0.18,0.04,1.03
307,-3.98,7.80,48.15,0.16,0.04,1.02
308,-4.73,5.82,48.05,0.16,0.03,1.04
309,-5.01,4.12,47.45,0.16,0.03,1.02
310,-4.53,1.82,46.67,0.15,0.03,1.03
311,-4.41,-0.31,45.57,0.15,0.02,1.01
312,-3.97,-0.76,44.46,0.15,0.03,1.01
313,-3.97,-1.36,43.88,0.16,0.03,1.00
314,-4.93,-2.03,43.36,0.16,0.03,1.01
315,-5.76,-2.81,43.18,0.17,0.03,1.02
316,-7.04,-3.33,42.64,0.17,0.03,1.01
317,-8.18,-2.56,42.92,0.17,0.03,1.00
318,-9.40,-1.47,42.76,0.17,0.03,1.01
319,-10.03,-0.78,42.90,0.16,0.02,1.01
320,-9.92,0.64,42.82,0.16,0.02,1.01
321,-10.70,1.80,42.92,0.16,0.03,1.03
322,-10.64,3.24,42.95,0.16,0.01,1.03
323,-11.45,3.77,42.90,0.16,0.01,1.04
324,-11.63,6.53,41.98,0.16,0.01,1.03
325,-11.36,5.42,43.45,0.15,0.00,1.03
326,-10.61,7.59,42.47,0.16,-0.00,1.02
327,-10.21,6.76,42.76,0.15,0.00,1.04
328,-12.09,9.62,42.50,0.17,0.01,1.04
329,-12.02,9.77,40.87,0.14,-0.01,1.03
330,-12.06,10.61,41.53,0.14,-0.00,1.03
331,-12.72,7.45,41.45,0.12,-0.01,1.05
332,-13.18,7.50,41.16,0.13,-0.01,1.04
333,-14.63,8.03,41.25,0.13,-0.01,1.04
334,-15.39,7.42,41.02,0.13,-0.01,1.05
335,-14.61,7.42,40.70,0.14,-0.02,1.05
336,-13.51,5.69,41.05,0.13,-0.01,1.06
337,-13.98,7.73,42.17,0.14,-0.01,1.08
338,-14.21,11.37,38.31,0.13,-0.02,1.05
339,-15.30,13.88,41.82,0.14,-0.01,1.06
340,-13.22,12.23,37.74,0.12,-0.05,1.06
341,-13.92,8.92,40.17,0.10,-0.03,1.10
342,-12.99,8.35,40.89,0.12,-0.05,1.08
343,-14.40,8.32,40.63,0.12,-0.03,1.10
344,-14.95,9.80,40.53,0.13,-0.03,1.08
345,-14.92,10.17,39.77,0.13,-0.04,1.08
346,-14.38,8.67,38.90,0.13,-0.04,1.09
347,-14.34,7.48,38.34,0.12,-0.03,1.09
348,-13.88,7.85,38.24,0.12,-0.04,1.10
349,-13.51,6.40,37.79,0.11,-0.04,1.12
350,-12.56,3.50,37.40,0.10,-0.05,1.12
351,-10.31,0.89,37.16,0.11,-0.05,1.11
352,-9.08,-1.80,37.11,0.10,-0.05,1.11
