,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
327,63.83,13.45,17.62,0.15,0.89,-0.22
328,64.31,14.32,17.94,0.16,0.88,-0.22
329,65.66,15.07,17.86,0.15,0.89,-0.22
330,66.31,14.95,17.94,0.15,0.87,-0.23
331,67.57,14.37,18.70,0.15,0.87,-0.23
332,67.27,15.16,18.55,0.16,0.86,-0.24
333,67.24,13.31,18.18,0.14,0.86,-0.24
334,70.00,12.37,18.32,0.15,0.85,-0.24
335,69.37,11.69,18.47,0.16,0.86,-0.26
336,68.95,9.83,18.64,0.14,0.86,-0.28
337,70.38,8.98,18.93,0.17,0.85,-0.28
338,70.55,8.95,18.41,0.16,0.83,-0.26
339,71.47,8.08,18.50,0.16,0.83,-0.27
340,71.77,8.23,18.67,0.17,0.82,-0.28
341,72.34,8.52,18.85,0.16,0.82,-0.28
342,72.47,9.16,19.13,0.15,0.81,-0.28
343,73.10,8.87,20.03,0.16,0.80,-0.29
344,73.10,9.54,20.92,0.15,0.80,-0.29
345,73.51,9.83,21.83,0.15,0.80,-0.29
346,73.51,9.91,22.41,0.15,0.80,-0.30
347,72.98,9.02,22.81,0.15,0.79,-0.31
348,72.92,9.04,22.73,0.16,0.78,-0.32
349,72.21,10.47,22.81,0.18,0.78,-0.33
350,71.42,10.32,22.34,0.19,0.77,-0.32
351,71.89,11.92,21.28,0.20,0.77,-0.33
352,72.44,14.53,21.50,0.21,0.75,-0.34
353,73.71,17.24,20.56,0.22,0.74,-0.36
354,74.87,20.44,20.02,0.23,0.74,-0.37
355,76.92,23.37,19.97,0.23,0.74,-0.39
356,78.95,26.85,20.87,0.23,0.75,-0.42
357,80.64,29.48,21.92,0.23,0.74,-0.46
358,83.85,31.94,23.07,0.24,0.74,-0.48
359,84.82,33.45,23.66,0.26,0.73,-0.53
360,85.88,34.87,23.65,0.28,0.75,-0.57
361,88.21,37.02,24.46,0.29,0.75,-0.61
362,89.77,36.58,26.09,0.30,0.76,-0.66
363,89.80,36.95,26.38,0.32,0.78,-0.70
364,89.40,36.23,26.15,0.34,0.80,-0.75
365,87.94,33.69,25.48,0.36,0.80,-0.80
366,85.63,30.90,23.69,0.39,0.81,-0.87
367,79.37,28.47,22.11,0.42,0.86,-0.93
368,74.20,24.90,19.04,0.45,0.86,-0.95
369,69.97,23.53,16.93,0.47,0.89,-0.98
370,63.47,21.45,14.08,0.48,0.88,-1.01
371,52.18,19.62,10.17,0.51,0.90,-1.04
372,47.11,18.93,6.03,0.53,0.90,-1.01
373,38.37,17.92,2.06,0.51,0.90,-1.03
374,32.31,14.18,-1.02,0.50,0.89,-0.99
375,24.46,13.59,-5.19,0.49,0.89,-0.99
376,17.44,9.77,-8.32,0.45,0.89,-0.97
377,9.71,5.79,-10.92,0.42,0.88,-0.95
378,2.60,1.95,-12.95,0.39,0.87,-0.92
379,-3.40,-2.61,-14.40,0.35,0.86,-0.88
380,-8.82,-6.50,-15.48,0.32,0.85,-0.83
