acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.24,0.32,0.9,-6.18,0.58,5.73,32.91
0.25,0.32,0.91,-7.3,1.05,5.86,32.91
0.25,0.33,0.9,-7.94,1.3,5.66,32.86
0.25,0.33,0.91,-9.65,0.58,6.2,32.86
0.25,0.32,0.92,-12.23,-2.5,5.74,32.86
0.25,0.31,0.94,-13.48,-5.94,5.33,32.86
0.27,0.29,0.95,-13.63,-7.16,4.63,32.67
0.28,0.28,0.97,-13.13,-6.93,3.77,32.95
0.28,0.27,0.98,-10.7,-5.05,4.29,32.86
0.28,0.25,0.99,-7.44,-2.31,6.41,32.86
0.28,0.24,0.99,-4.21,1.16,8.21,32.81
0.26,0.25,0.99,-0.18,3.07,8.78,32.81
0.25,0.26,0.97,1.39,1.65,8.21,32.81
0.23,0.27,0.96,2.55,-1.08,8.38,32.81
0.24,0.27,0.96,2.72,-2.78,8.79,32.86
0.25,0.27,0.96,2.56,-3.6,8.96,32.95
0.26,0.27,0.95,3.07,-3.73,8.96,32.86
0.25,0.27,0.96,3.01,-2.26,10.41,32.81
0.26,0.27,0.95,3.13,-1.5,12.09,32.86
0.27,0.25,0.93,4.03,-0.99,12.17,32.91
0.28,0.25,0.93,4.96,-0.44,11.65,32.86
0.28,0.24,0.93,6.72,-3.15,10.15,32.81
0.28,0.23,0.93,6.89,-5.3,8.81,32.81
0.29,0.24,0.93,6.58,-4.73,8.46,32.91
0.3,0.25,0.92,5.28,-4.17,7.3,32.91
0.3,0.24,0.91,2.93,-3.65,5.44,32.91
0.3,0.24,0.91,1.57,-3.98,3.59,32.77
0.29,0.24,0.91,-1.34,-6.34,2.32,32.81
0.3,0.23,0.91,-3.89,-7.48,1.86,32.95
0.31,0.21,0.92,-5.47,-7.73,1.91,32.81
0.33,0.2,0.91,-5.98,-7.3,2.23,32.86
0.35,0.18,0.92,-4.55,-6.32,1.88,32.95
0.36,0.18,0.94,-2.26,-5.85,-0.5,32.95
0.36,0.17,0.93,-1.01,-4.08,-3.07,32.95
0.35,0.19,0.92,-0.26,-3.73,-5.31,32.91
0.34,0.19,0.91,-1.24,-2.67,-6.18,32.91
0.35,0.21,0.91,-2.38,-2.67,-6.17,32.81
0.34,0.2,0.9,-3.79,-3.18,-7.19,32.91
0.36,0.22,0.9,-5.8,-2.56,-8.35,32.91
0.36,0.23,0.89,-7.71,-2.6,-11.4,32.81
0.37,0.24,0.87,-10.34,-3.19,-14.95,32.91
0.36,0.24,0.87,-12.35,-2.34,-17.65,32.91
0.35,0.24,0.87,-12.85,-1.42,-18.89,32.86
0.33,0.24,0.88,-11.8,-2.26,-20.2,32.91
0.33,0.23,0.9,-11.34,-1.89,-20.05,32.86
0.32,0.24,0.87,-11.24,-1.54,-20.46,32.95
0.31,0.24,0.89,-9.95,-0.9,-20.66,32.91
0.3,0.24,0.9,-9.07,1.79,-20.2,32.91
0.29,0.26,0.88,-9.16,3.42,-19.66,32.91
0.28,0.27,0.89,-8.46,3.08,-20.31,32.91
0.26,0.29,0.89,-8.96,1.19,-21.21,32.81
0.26,0.29,0.89,-9.45,-1.57,-21.36,32.91
0.26,0.29,0.9,-8.5,-2.84,-20.81,32.91
0.26,0.28,0.92,-7.77,-3.62,-20.35,32.91
0.26,0.28,0.93,-6.15,-3.37,-19.25,32.95
0.27,0.29,0.92,-4.58,-0.67,-16.85,32.81
0.26,0.29,0.92,-3.48,0.0,-14.95,32.91
0.27,0.3,0.91,-3.4,1.59,-13.37,32.81
0.27,0.32,0.92,-3.85,3.77,-12.37,32.91
0.27,0.33,0.91,-5.63,3.95,-11.89,32.81
0.28,0.33,0.92,-6.49,2.98,-12.27,32.91
0.27,0.32,0.91,-5.69,2.79,-12.21,32.77
0.27,0.32,0.91,-4.31,3.47,-11.51,32.95
0.27,0.31,0.92,-2.18,3.77,-11.13,32.86
0.27,0.31,0.92,0.32,5.45,-10.37,32.91
0.26,0.31,0.92,1.59,6.38,-8.46,32.81
0.25,0.32,0.93,1.77,9.34,-6.56,32.91
0.23,0.33,0.92,1.97,11.25,-4.56,32.86
0.22,0.35,0.9,0.52,11.05,-3.85,33.0
0.22,0.35,0.9,-0.78,9.8,-3.28,32.86
0.2,0.35,0.91,-2.29,7.73,-2.89,32.91
0.19,0.33,0.92,-3.28,5.1,-1.66,32.95
0.2,0.34,0.93,-4.49,3.39,0.67,32.91
0.21,0.32,0.93,-5.15,2.67,2.4,32.95
0.21,0.31,0.93,-5.13,2.0,2.66,32.86
0.2,0.29,0.94,-4.11,1.56,3.33,32.91
0.2,0.3,0.95,-4.34,-0.02,5.47,32.81
0.2,0.3,0.95,-5.44,-0.66,7.88,32.86
0.22,0.28,0.95,-5.25,0.61,9.62,32.91
0.24,0.28,0.96,-4.99,0.49,9.92,32.95
0.24,0.27,0.95,-5.01,-0.82,9.73,32.86
0.25,0.25,0.96,-4.9,-2.31,9.02,32.91
0.26,0.24,0.98,-2.44,-3.86,8.37,32.86
0.26,0.22,0.99,1.48,-4.37,7.88,32.91
0.27,0.22,0.99,3.83,-3.4,7.36,32.81
0.26,0.23,0.97,6.21,-1.94,6.78,32.86
0.26,0.24,0.98,8.12,-1.45,6.7,32.91
0.24,0.24,0.95,7.05,-1.83,6.96,32.91
0.25,0.25,0.95,5.37,-2.06,7.71,32.91
0.27,0.25,0.95,3.4,-1.48,7.92,32.86
0.27,0.25,0.95,2.05,-0.47,7.8,32.86
0.26,0.26,0.94,1.04,-1.07,7.57,32.91
0.26,0.25,0.93,1.25,-1.45,6.84,33.0
0.27,0.24,0.95,1.33,-1.8,6.06,32.95
0.26,0.25,0.94,2.43,-2.95,4.84,32.86
0.26,0.24,0.94,2.89,-3.18,4.29,32.95
0.26,0.25,0.93,2.52,-3.24,4.15,32.91
0.27,0.24,0.93,2.81,-1.47,4.18,32.81
0.28,0.24,0.93,2.7,0.27,5.02,32.86
0.27,0.25,0.94,2.18,2.21,5.37,32.81
0.26,0.25,0.92,2.18,3.37,4.82,32.91
0.26,0.27,0.91,0.99,1.98,3.45,32.91
0.26,0.27,0.91,0.05,0.58,1.54,32.91
0.26,0.27,0.92,-0.37,0.95,0.32,32.86
0.24,0.26,0.91,-1.85,-0.32,0.75,32.91
0.24,0.26,0.91,-2.23,-2.37,0.49,32.86
0.25,0.24,0.93,-2.4,-2.29,0.9,32.91
0.25,0.25,0.93,-1.82,-2.34,1.89,32.95
0.26,0.25,0.94,-1.02,-1.57,2.89,33.0
0.27,0.25,0.93,-1.01,-0.58,3.1,32.95
0.28,0.26,0.93,-0.82,0.21,2.85,32.91
0.28,0.26,0.94,-0.55,0.17,1.89,32.86
0.28,0.27,0.93,-1.05,-0.35,0.49,32.95
0.28,0.27,0.92,-1.74,-1.83,-0.5,33.0
0.29,0.27,0.92,-1.88,-3.65,-1.33,32.91
0.29,0.27,0.92,-1.76,-4.26,-1.65,33.0
0.3,0.26,0.91,-1.62,-3.91,-1.62,33.0
0.31,0.27,0.91,0.37,-1.94,-2.47,32.91
0.3,0.28,0.92,0.85,-1.28,-4.12,32.77
0.3,0.29,0.91,-0.27,-1.22,-5.15,33.0
0.29,0.29,0.89,-2.02,-1.42,-5.71,32.81
0.28,0.29,0.91,-3.66,-1.33,-5.13,32.91
0.28,0.29,0.9,-5.68,-1.4,-4.35,32.95
0.28,0.29,0.9,-7.3,-0.79,-3.44,32.86
0.28,0.29,0.9,-7.91,0.18,-3.1,32.95
0.28,0.28,0.91,-8.7,0.99,-3.3,32.91
0.27,0.28,0.9,-8.69,1.44,-3.45,33.05
0.26,0.27,0.92,-8.29,0.61,-3.83,32.81
0.26,0.25,0.93,-6.52,-2.24,-4.29,32.95
0.27,0.23,0.94,-4.67,-1.71,-4.47,32.95
0.28,0.22,0.96,-2.12,-1.05,-4.18,32.86
0.28,0.21,0.96,1.04,0.93,-3.36,32.95
0.3,0.21,0.94,3.28,2.4,-2.35,32.95
0.3,0.21,0.94,6.63,3.66,-1.91,32.91
0.32,0.2,0.94,9.27,5.6,-1.82,33.0
0.32,0.22,0.92,10.53,7.3,-1.98,32.95
0.31,0.23,0.91,10.93,8.34,-2.69,32.91
0.31,0.25,0.89,11.05,9.47,-3.51,33.05
0.31,0.27,0.89,10.32,9.53,-4.47,32.91
0.31,0.28,0.87,8.82,8.92,-5.59,32.86
0.31,0.3,0.85,6.58,8.7,-7.16,32.91
0.3,0.31,0.85,4.72,6.58,-9.01,32.81
0.3,0.31,0.85,4.56,6.21,-10.89,32.91
0.28,0.31,0.84,3.68,6.37,-10.76,32.91
0.27,0.33,0.85,3.1,7.25,-10.27,32.86
0.26,0.35,0.85,2.75,9.65,-9.24,33.0
0.24,0.35,0.85,1.02,9.22,-8.58,33.0
0.23,0.37,0.86,-0.6,8.73,-7.69,33.0
0.23,0.39,0.86,-1.83,8.29,-7.69,32.91
0.22,0.42,0.87,-4.4,7.54,-8.46,32.86
0.22,0.42,0.86,-7.27,6.53,-8.82,32.81
0.22,0.43,0.87,-10.29,4.18,-8.26,32.86
0.2,0.41,0.9,-11.71,1.91,-7.34,32.86
0.2,0.39,0.94,-11.71,1.54,-5.37,32.86
0.2,0.38,0.96,-8.99,2.29,-3.08,32.91
0.2,0.36,0.97,-5.28,3.48,-0.35,33.0
0.19,0.38,0.97,-2.32,5.31,2.32,32.86
0.18,0.37,0.97,-0.31,6.31,5.08,33.05
0.18,0.38,0.96,0.84,9.08,7.82,32.91
0.17,0.39,0.96,0.67,8.41,10.52,32.95
0.17,0.37,0.95,0.73,7.19,12.43,32.91
0.16,0.36,0.96,0.7,4.69,14.29,32.91
0.17,0.33,0.97,0.69,1.42,15.54,32.91
0.17,0.32,0.97,2.0,-0.14,16.23,32.86
0.18,0.3,0.97,4.67,0.53,17.07,32.91
0.18,0.28,0.97,7.3,2.09,18.6,32.91
0.19,0.27,0.96,9.08,4.53,20.4,32.95
0.18,0.27,0.96,10.12,6.44,22.49,32.95
